dataset_id,dataset_name,outer_run,n_max,n_layers,n_out,mean_type,kernel_type,num_mixtures,lr,batch_size,num_inducing,initialize_fe,minit,MAX_EPOCHS,mse,mae,max_absolute_error,nll_score,train_time
216,elevators,1,854,3,8,constant,rbf,,0.0009221370642969,512,826,False,kmeans,470,3.9417477637471166e-06,0.0014569907216355,0.0139832757413387,-5.750205651987045,301.5401544570923
216,elevators,2,748,5,10,constant,rbf,,0.0005332965971341,512,164,True,random,849,5.283378413878381e-06,0.0017274993006139,0.0130222365260124,-5.638604978260771,423.62264013290405
216,elevators,3,535,4,4,constant,matern1.5,,0.0004092494926617,512,1707,True,kmeans,845,4.760816864290973e-06,0.0015516735147684,0.0196299459785223,-5.627216298710123,931.927152633667
216,elevators,4,350,4,18,constant,matern1.5,,0.0002403144995479,512,55,True,kmeans,1336,3.960733010899276e-06,0.0014766216045245,0.0119420681148767,-5.525535339800302,659.2667903900146
216,elevators,5,805,4,8,constant,matern1.5,,0.0005874621551228,512,233,True,random,849,4.619030733010732e-06,0.0015996211441233,0.0114342495799064,-5.646112257567252,453.6097252368927
